Location,Date,Group,Total,Device always available for educational purposes,Device usually available for educational purposes,Device sometimes available for educational purposes,Device rarely available for educational purposes,Device never available for educational purposes,Did not report,Internet always available for educational purposes,Internet usually available for educational purposes,Internet sometimes available for educational purposes,Internet rarely available for educational purposes,Internet never available for educational purposes,Did not report.1
WA,2020-05-05,"    Less than $25,000",126801.0,82138.0,23821.0,15521.0,2661.0,2661.0,,72749.0,43280.0,5450.0,2661.0,2661.0,
WA,2020-05-05,"    $25,000 - $34,999",142422.0,91223.0,34196.0,9156.0,7026.0,820.0,,91048.0,30024.0,10628.0,9902.0,820.0,
WA,2020-05-05,"    $35,000 - $49,999",137649.0,104024.0,14927.0,2928.0,5103.0,10666.0,,107465.0,19518.0,,,10666.0,
WA,2020-05-05,"    $50,000 - $74,999",250272.0,152880.0,62590.0,18203.0,16598.0,,,180698.0,42946.0,26627.0,,,
WA,2020-05-05,"    $75,000 - $99,999",125245.0,93336.0,20611.0,4813.0,6485.0,,,79949.0,39671.0,5625.0,,,
WA,2020-05-05,"    $100,000 - $149,999",283321.0,222658.0,54647.0,5419.0,,597.0,,239162.0,39661.0,3901.0,,597.0,
WA,2020-05-05,"    $150,000 - $199,999",104622.0,75312.0,20450.0,619.0,,8241.0,,80769.0,14885.0,727.0,,8241.0,
WA,2020-05-05,"    $200,000 and above",183812.0,162665.0,9720.0,9748.0,1679.0,,,163830.0,16264.0,3718.0,,,
WA,2020-05-05,    Did not report,34206.0,16057.0,4657.0,1625.0,2277.0,,9590.0,15745.0,4820.0,,,2277.0,11364.0
Seattle_Metro_Area,2020-05-05,"    Less than $25,000",31179.0,27667.0,2901.0,610.0,,,,25008.0,5560.0,610.0,,,
Seattle_Metro_Area,2020-05-05,"    $25,000 - $34,999",47209.0,25730.0,9936.0,3698.0,7026.0,820.0,,24442.0,5132.0,6914.0,9902.0,820.0,
Seattle_Metro_Area,2020-05-05,"    $35,000 - $49,999",73875.0,59314.0,3818.0,2928.0,5103.0,2713.0,,64732.0,6431.0,,,2713.0,
Seattle_Metro_Area,2020-05-05,"    $50,000 - $74,999",120173.0,95066.0,25050.0,57.0,,,,86968.0,33206.0,,,,
Seattle_Metro_Area,2020-05-05,"    $75,000 - $99,999",76937.0,51513.0,20611.0,4813.0,,,,47292.0,24020.0,5625.0,,,
Seattle_Metro_Area,2020-05-05,"    $100,000 - $149,999",156460.0,123725.0,27020.0,5118.0,,597.0,,138490.0,14698.0,2675.0,,597.0,
Seattle_Metro_Area,2020-05-05,"    $150,000 - $199,999",68356.0,51228.0,16509.0,619.0,,,,58650.0,8978.0,727.0,,,
Seattle_Metro_Area,2020-05-05,"    $200,000 and above",134042.0,116678.0,5937.0,9748.0,1679.0,,,119783.0,12216.0,2043.0,,,
Seattle_Metro_Area,2020-05-05,    Did not report,17394.0,12283.0,1209.0,1625.0,2277.0,,,11972.0,3145.0,,,2277.0,
WA,2020-05-12,"    Less than $25,000",190832.0,102173.0,24769.0,37238.0,26652.0,,,108727.0,18215.0,63890.0,,,
WA,2020-05-12,"    $25,000 - $34,999",84396.0,64824.0,14481.0,5091.0,,,,61965.0,22067.0,364.0,,,
WA,2020-05-12,"    $35,000 - $49,999",81584.0,47219.0,28612.0,,,1392.0,4361.0,66876.0,13316.0,,1392.0,,
WA,2020-05-12,"    $50,000 - $74,999",293708.0,154940.0,75273.0,24763.0,25072.0,,13660.0,233878.0,46171.0,,,13660.0,
WA,2020-05-12,"    $75,000 - $99,999",87660.0,66103.0,16133.0,5424.0,,,,71235.0,16103.0,323.0,,,
WA,2020-05-12,"    $100,000 - $149,999",161518.0,142337.0,13761.0,782.0,,1131.0,3507.0,150994.0,9392.0,,,1131.0,
WA,2020-05-12,"    $150,000 - $199,999",169388.0,135962.0,5507.0,,,27918.0,,119592.0,21040.0,838.0,,27918.0,
WA,2020-05-12,"    $200,000 and above",191670.0,177111.0,8488.0,1348.0,2037.0,,2686.0,177826.0,11157.0,,2686.0,,
WA,2020-05-12,    Did not report,35594.0,20952.0,6463.0,,,,8179.0,3420.0,,6463.0,,,25711.0
Seattle_Metro_Area,2020-05-12,"    Less than $25,000",69746.0,36842.0,6252.0,,26652.0,,,29396.0,13697.0,26652.0,,,
Seattle_Metro_Area,2020-05-12,"    $25,000 - $34,999",46412.0,43290.0,,3122.0,,,,35186.0,10861.0,364.0,,,
Seattle_Metro_Area,2020-05-12,"    $35,000 - $49,999",22316.0,15589.0,975.0,,,1392.0,4361.0,20924.0,,,1392.0,,
Seattle_Metro_Area,2020-05-12,"    $50,000 - $74,999",126858.0,75417.0,35398.0,1772.0,611.0,,13660.0,102483.0,10715.0,,,13660.0,
Seattle_Metro_Area,2020-05-12,"    $75,000 - $99,999",53973.0,44878.0,3993.0,5101.0,,,,50010.0,3963.0,,,,
Seattle_Metro_Area,2020-05-12,"    $100,000 - $149,999",99466.0,83236.0,11592.0,,,1131.0,3507.0,92630.0,5704.0,,,1131.0,
Seattle_Metro_Area,2020-05-12,"    $150,000 - $199,999",92926.0,89358.0,3567.0,,,,,71577.0,20510.0,838.0,,,
Seattle_Metro_Area,2020-05-12,"    $200,000 and above",152893.0,141021.0,8488.0,1348.0,2037.0,,,145272.0,7621.0,,,,
Seattle_Metro_Area,2020-05-12,    Did not report,22200.0,19430.0,,,,,2770.0,1898.0,,,,,20302.0
WA,2020-05-19,"    Less than $25,000",104553.0,78047.0,278.0,25073.0,796.0,359.0,,65244.0,6641.0,31639.0,796.0,233.0,
WA,2020-05-19,"    $25,000 - $34,999",84494.0,52571.0,5005.0,15088.0,11638.0,193.0,,52893.0,6206.0,13699.0,11697.0,,
